Metric,Baseline,S_XGBoost,SP_XGBoost,S_minus_Baseline,SP_minus_S,SP_minus_Baseline,SP_vs_Baseline_Percent
ROC-AUC,0.756733021,0.768149883,0.81381733,0.011416862,0.045667447,0.057084309,7.543520309
PR-AUC,0.721969739,0.739461967,0.775147618,0.017492228,0.035685651,0.05317788,7.365665997
F1,0.62962963,0.647619048,0.705882353,0.017989418,0.058263305,0.076252723,12.11072664
Precision,0.653846154,0.693877551,0.782608696,0.040031397,0.088731145,0.128762542,19.69309463
Recall,0.607142857,0.607142857,0.642857143,0,0.035714286,0.035714286,5.882352941
Specificity,0.704918033,0.754098361,0.836065574,0.049180328,0.081967213,0.131147541,18.60465116
Accuracy,0.658119658,0.683760684,0.743589744,0.025641026,0.05982906,0.085470085,12.98701299
