Metric,Best_Comparator,Comparator_Value,SP_XGBoost_Value,Absolute_Difference,Relative_Difference_Percent
ROC-AUC,Random Forest,0.8001,0.81381733,0.01371733,1.71445197
PR-AUC,Random Forest,0.743,0.775147618,0.032147618,4.326731934
F1,Random Forest,0.68,0.705882353,0.025882353,3.806228374
Precision,Random Forest,0.7727,0.782608696,0.009908696,1.28234705
Recall,Random Forest,0.6071,0.642857143,0.035757143,5.889827517
Specificity,Random Forest,0.8361,0.836065574,-3.44E-05,-0.004117478
Accuracy,Random Forest,0.7265,0.743589744,0.017089744,2.352339104
