Model,Predictors,ROC_AUC,PR_AUC,F1,Precision,Recall,Specificity,Accuracy
Baseline XGBoost,61,0.7567,0.722,0.6296,0.6538,0.6071,0.7049,0.6581
S-XGBoost,49,0.7681498829039812,0.7394619671584458,0.6476190476190476,0.6938775510204082,0.6071428571428571,0.7540983606557377,0.6837606837606838
SP-XGBoost,49,0.8138173302107728,0.7751476182716899,0.7058823529411765,0.782608695652174,0.6428571428571429,0.8360655737704918,0.7435897435897436
