Contrast,Delta_ROC_AUC,Delta_PR_AUC,Delta_F1,Delta_Precision,Delta_Recall,Delta_Specificity,Delta_Accuracy
Pruning effect without tuning (S − Baseline),0.011416861826697877,0.01749222843856635,0.017989417989418,0.0400313971742543,0.0,0.0491803278688524,0.02564102564102566
Pruning effect after tuning (SP − Tuned Baseline),0.0029274004683841337,-0.02286587220717906,0.019013666072489666,-0.008088978766430666,0.03571428571428581,-0.016393442622950727,0.008547008547008517
Tuning effect without pruning (Tuned Baseline − Baseline),0.05415690866510536,0.07604375175898948,0.0572390572390572,0.13685152057245076,0.0,0.14754098360655732,0.07692307692307698
Tuning effect after pruning (SP − S),0.04566744730679162,0.035685651113244066,0.05826330532212887,0.08873114463176579,0.03571428571428581,0.08196721311475419,0.05982905982905984
