Model,Predictors,Pruned,Tuned,ROC_AUC,PR_AUC,F1,Precision,Recall,Specificity,Accuracy
Baseline XGBoost,61,No,No,0.7567330210772834,0.7219697387198795,0.6296296296296297,0.6538461538461539,0.6071428571428571,0.7049180327868853,0.6581196581196581
S-XGBoost,49,Yes,No,0.7681498829039812,0.7394619671584458,0.6476190476190476,0.6938775510204082,0.6071428571428571,0.7540983606557377,0.6837606837606838
Tuned Baseline XGBoost,61,No,Yes,0.8108899297423887,0.7980134904788689,0.6868686868686869,0.7906976744186046,0.6071428571428571,0.8524590163934426,0.7350427350427351
SP-XGBoost,49,Yes,Yes,0.8138173302107728,0.7751476182716899,0.7058823529411765,0.782608695652174,0.6428571428571429,0.8360655737704918,0.7435897435897436
