Metric,49_Feature_Mean,49_Feature_SD,48_Feature_Mean,48_Feature_SD,Mean_Delta_48_minus_49,Mean_Percent_Change
ROC_AUC,0.813231850117096,0.0010140812690683984,0.5281030444964872,0.006473461471749443,-0.2851288056206089,-35.06047937425114
PR_AUC,0.7754502413629997,0.0013943388285983418,0.5607246062270433,0.01863061757794959,-0.2147256351359564,-27.688045791772524
F1,0.6995845466899632,0.017316961397945557,0.5108184650240725,0.011777654198495762,-0.18876608166589068,-26.971048213489123
Precision,0.7851119894598156,0.013807616490135944,0.5289229651974751,0.017407846204796972,-0.2561890242623405,-32.61270320093849
Recall,0.6309523809523809,0.020619652471058115,0.49404761904761907,0.010309826235529026,-0.13690476190476192,-21.677559912854033
Specificity,0.8415300546448088,0.009464758511305287,0.5956284153005464,0.025041397240195874,-0.24590163934426232,-29.198089492207142
Accuracy,0.7407407407407408,0.013055771210700413,0.547008547008547,0.014803853056144262,-0.19373219373219375,-26.143124961583382
