Metric,Reference_49,GPA_S1_Excluded_48,Observed_Delta_48_minus_49,Bootstrap_Mean_Delta,Bootstrap_SD,CI95_Lower,CI95_Upper,CI_Excludes_Zero
ROC_AUC,0.8088407494145199,0.5040983606557377,-0.30474238875878223,-0.3048215456674473,0.058430568118301565,-0.41951112412178,-0.19085919203747082,True
PR_AUC,0.7721814126397413,0.5328137570610919,-0.23936765557864936,-0.23228512369743,0.049865166817388853,-0.332913715874813,-0.13537318138840998,True
F1,0.7169811320754716,0.45871559633027525,-0.2582655357451964,-0.2591545049433023,0.06795805465994201,-0.3903095299360998,-0.12612110331998827,True
Precision,0.76,0.4716981132075472,-0.28830188679245283,-0.29083627329072087,0.06798612950528668,-0.4249058338268306,-0.15806637906735022,True
Recall,0.6785714285714286,0.44642857142857145,-0.23214285714285715,-0.2325642857142857,0.08446394137561324,-0.39285714285714285,-0.0714285714285714,True
Specificity,0.8032786885245902,0.5409836065573771,-0.2622950819672131,-0.2623245901639344,0.07498953024897125,-0.40983606557377045,-0.11475409836065575,True
Accuracy,0.7435897435897436,0.49572649572649574,-0.24786324786324787,-0.2480803418803419,0.056793302929018116,-0.358974358974359,-0.1367521367521367,True
