Metric,Mean,SD,Min,Max
ROC_AUC,0.5281030444964872,0.006473461471749443,0.5231264637002342,0.5354215456674474
PR_AUC,0.5607246062270433,0.01863061757794959,0.5493117603359329,0.5822237529033275
F1,0.5108184650240725,0.011777654198495762,0.5,0.5233644859813084
Precision,0.5289229651974751,0.017407846204796972,0.5185185185185185,0.5490196078431373
Recall,0.49404761904761907,0.010309826235529026,0.48214285714285715,0.5
Specificity,0.5956284153005464,0.025041397240195874,0.5737704918032787,0.6229508196721312
Accuracy,0.547008547008547,0.014803853056144262,0.5384615384615384,0.5641025641025641
