Seed,Reference_Features,Sensitivity_Features,ROC_AUC_49,ROC_AUC_48,Delta_ROC_AUC,Percent_Change_ROC_AUC,PR_AUC_49,PR_AUC_48,Delta_PR_AUC,Percent_Change_PR_AUC,F1_49,F1_48,Delta_F1,Percent_Change_F1,Precision_49,Precision_48,Delta_Precision,Percent_Change_Precision,Recall_49,Recall_48,Delta_Recall,Percent_Change_Recall,Specificity_49,Specificity_48,Delta_Specificity,Percent_Change_Specificity,Accuracy_49,Accuracy_48,Delta_Accuracy,Percent_Change_Accuracy
42,49,48,0.8088407494145199,0.5040983606557377,-0.30474238875878223,-37.676438653637355,0.7721814126397413,0.5328137570610919,-0.23936765557864936,-30.998888559148156,0.7169811320754716,0.45871559633027525,-0.2582655357451964,-36.02124577498792,0.76,0.4716981132075472,-0.28830188679245283,-37.93445878848063,0.6785714285714286,0.44642857142857145,-0.23214285714285715,-34.21052631578947,0.8032786885245902,0.5409836065573771,-0.2622950819672131,-32.6530612244898,0.7435897435897436,0.49572649572649574,-0.24786324786324787,-33.33333333333333
123,49,48,0.8120608899297425,0.5134660421545667,-0.29859484777517575,-36.77000720980534,0.7779389227502277,0.5521411848201391,-0.22579773793008862,-29.025124123090745,0.66,0.5225225225225225,-0.13747747747747752,-20.829920829920834,0.75,0.5272727272727272,-0.22272727272727277,-29.696969696969706,0.5892857142857143,0.5178571428571429,-0.0714285714285714,-12.121212121212116,0.819672131147541,0.5737704918032787,-0.24590163934426235,-30.000000000000004,0.7094017094017094,0.5470085470085471,-0.16239316239316237,-22.891566265060238
7,49,48,0.8129391100702575,0.5014637002341921,-0.3114754098360655,-38.31472812387467,0.7754220405993307,0.5602081113581371,-0.21521392924119365,-27.75442507087532,0.7238095238095238,0.48214285714285715,-0.24166666666666664,-33.38815789473684,0.7755102040816326,0.48214285714285715,-0.2933673469387755,-37.82894736842105,0.6785714285714286,0.48214285714285715,-0.19642857142857145,-28.947368421052634,0.819672131147541,0.5245901639344263,-0.29508196721311475,-36.0,0.7521367521367521,0.5042735042735043,-0.24786324786324787,-32.95454545454546
