Analysis,Outcome,SP_XGBoost,Random_Forest,Difference_SP_minus_RF,CI_95_Lower,CI_95_Upper,Test_Statistic,P_Value,Inferential_Status
Paired DeLong,ROC-AUC,0.80884074941452,0.80884074941452,0.0,,,0.0,1.0,No statistically significant ROC-AUC difference
Paired bootstrap,ROC_AUC,0.8088407494145199,0.8088407494145199,0.0,-0.0368925644028102,0.0360070257611241,,,95% CI includes zero
Paired bootstrap,PR_AUC,0.7721814126397413,0.7465251238475146,0.0256562887922267,-0.0232490678768069,0.062394158151394,,,95% CI includes zero
Paired bootstrap,F1,0.7169811320754716,0.673469387755102,0.0435117443203696,-0.014488047123232,0.1150122985419509,,,95% CI includes zero
Paired bootstrap,Precision,0.76,0.7857142857142857,-0.0257142857142856,-0.1067894476804659,0.0476190476190475,,,95% CI includes zero
Paired bootstrap,Recall,0.6785714285714286,0.5892857142857143,0.0892857142857143,0.0178571428571429,0.1785714285714285,,,95% CI excludes zero
Paired bootstrap,Specificity,0.8032786885245902,0.8524590163934426,-0.0491803278688524,-0.1147540983606557,0.0163934426229508,,,95% CI includes zero
Paired bootstrap,Accuracy,0.7435897435897436,0.7264957264957265,0.0170940170940171,-0.0341880341880341,0.0683760683760683,,,95% CI includes zero
Exact McNemar,Overall classification errors,0.7435897435897436,0.7264957264957265,0.0170940170940171,,,4.0,0.75390625,No statistically significant difference in paired error rates
