Bootstrap_Iteration,ROC_AUC_Difference,PR_AUC_Difference,F1_Difference,Precision_Difference,Recall_Difference,Specificity_Difference,Accuracy_Difference
1,0.009074941451990726,0.02392969939984335,0.0943695479777954,0.04268292682926833,0.125,0.0,0.05982905982905984
2,-0.025761124121779777,-0.015796632023596935,0.005301914580265077,-0.0701841712294674,0.0535714285714286,-0.08196721311475408,-0.017094017094017144
3,0.002634660421545587,0.016487001820996494,0.059035810123068355,0.016993464052287632,0.0892857142857143,-0.016393442622950838,0.03418803418803418
4,0.01492974238875866,0.05872967429974163,0.027755102040816326,0.012987012987012991,0.0357142857142857,0.0,0.017094017094017033
5,-0.015222482435597207,0.0007357306417280496,0.054166666666666585,0.020454545454545392,0.0714285714285714,0.0,0.03418803418803418
6,-0.0043911007025762006,0.020329484452723867,0.005705508009655413,-0.05534105534105538,0.0357142857142857,-0.049180327868852514,-0.008547008547008517
7,0.012295081967213184,0.02633381277889002,0.053250773993808065,-0.012263099219620877,0.0892857142857143,-0.032786885245901565,0.02564102564102566
8,-0.030737704918032738,-0.009986960129321654,0.053375196232339106,-0.02857142857142858,0.0892857142857143,-0.032786885245901676,0.02564102564102566
9,0.006733021077283352,0.008814375028787125,0.02262644188110019,-0.04365079365079372,0.05357142857142849,-0.0491803278688524,0.0
10,0.03688524590163933,0.04243265279329922,0.05890688259109311,-0.024038461538461453,0.1071428571428571,-0.0491803278688524,0.02564102564102566
11,0.009660421545667486,0.03979400919908771,0.051576994434137324,-0.050264550264550234,0.125,-0.08196721311475408,0.017094017094017033
12,-0.005562060889929721,0.01929456976976751,0.02626050420168058,-0.05046583850931685,0.08928571428571419,-0.08196721311475419,0.0
13,0.007025761124121788,0.007107764328259325,-0.007969604299879474,-0.09258446687143485,0.0535714285714286,-0.11475409836065564,-0.03418803418803429
14,-0.007903981264637094,0.02691720391634933,0.05899705014749268,0.005012531328320802,0.1071428571428571,-0.032786885245901565,0.03418803418803429
15,0.008489461358313966,0.018003159240554956,0.03279279279279279,-0.0636363636363636,0.1071428571428571,-0.08196721311475408,0.008547008547008628
16,0.01756440281030447,0.025515392207969168,0.0879952690715553,0.027972027972027913,0.10714285714285715,0.0,0.05128205128205132
17,0.013173302107728158,0.03865573961084767,0.07202484954377786,0.07101449275362326,0.0714285714285714,0.0491803278688524,0.05982905982905984
18,0.0038056206088992184,0.012853972115494772,0.04099821746880572,-0.020128824476650653,0.0892857142857143,-0.049180327868852514,0.017094017094017144
19,0.01200234192037486,0.028091453527775534,0.04872856298048489,-0.013986013986013957,0.07142857142857145,-0.032786885245901565,0.017094017094017144
20,-0.0023419203747072626,0.010287379312929112,0.024092053218266796,-0.013911620294599025,0.0535714285714286,-0.032786885245901676,0.008547008547008517
21,0.013466042154566704,0.017198954996627713,0.10047095761381475,0.03809523809523807,0.12499999999999994,0.0,0.05982905982905984
22,0.010538641686182681,0.038911911076357164,0.07210884353741498,0.017006802721088343,0.1071428571428571,-0.016393442622950838,0.042735042735042805
23,-0.024004683840749497,0.001207504426324335,0.046193497224425006,-0.02388211382113825,0.08928571428571419,-0.032786885245901676,0.02564102564102566
24,-0.007318501170960112,0.017907828425837602,0.03431372549019607,-0.0304347826086957,0.0714285714285714,-0.032786885245901676,0.017094017094017144
25,-0.003512880562061005,0.012473094252920092,0.010613207547169767,-0.08499999999999996,0.0714285714285714,-0.09836065573770492,-0.017094017094017144
26,-0.0017564402810303914,0.02721808520997726,0.05887213385664125,-0.028555431131018993,0.1071428571428571,-0.0491803278688524,0.02564102564102566
