Metric,SP_XGBoost,Random_Forest,Difference_SP_minus_RF
ROC_AUC,0.8088407494145199,0.8088407494145199,0.0
PR_AUC,0.7721814126397413,0.7465251238475146,0.0256562887922267
F1,0.7169811320754716,0.673469387755102,0.04351174432036964
Precision,0.76,0.7857142857142857,-0.02571428571428569
Recall,0.6785714285714286,0.5892857142857143,0.0892857142857143
Specificity,0.8032786885245902,0.8524590163934426,-0.0491803278688524
Accuracy,0.7435897435897436,0.7264957264957265,0.017094017094017144
