Metric,SP_XGBoost_Observed,Random_Forest_Observed,Observed_Difference_SP_minus_RF,Bootstrap_Mean_Difference,Bootstrap_SE,CI_95_Lower,CI_95_Upper,CI_Zero_Status,Bootstrap_Iterations
ROC_AUC,0.8088407494145199,0.8088407494145199,0.0,-0.00010620608899297601,0.0183718935239292,-0.03689256440281026,0.036007025761124134,Includes zero,5000
PR_AUC,0.7721814126397413,0.7465251238475146,0.0256562887922267,0.018990931585031394,0.02176523122923862,-0.023249067876806955,0.06239415815139403,Includes zero,5000
F1,0.7169811320754716,0.673469387755102,0.04351174432036964,0.04429695892714551,0.03249664190628425,-0.014488047123232073,0.1150122985419509,Includes zero,5000
Precision,0.76,0.7857142857142857,-0.02571428571428569,-0.025779217774574925,0.039371456191312604,-0.10678944768046597,0.04761904761904756,Includes zero,5000
Recall,0.6785714285714286,0.5892857142857143,0.0892857142857143,0.08953928571428571,0.03825480254983003,0.017857142857142905,0.17857142857142855,Entirely above zero,5000
Specificity,0.8032786885245902,0.8524590163934426,-0.0491803278688524,-0.0490655737704918,0.036166492280887766,-0.11475409836065575,0.016393442622950838,Includes zero,5000
Accuracy,0.7435897435897436,0.7264957264957265,0.017094017094017144,0.017275213675213678,0.026477343904323793,-0.03418803418803418,0.06837606837606836,Includes zero,5000
