Metric,Mean,SD,Minimum,Maximum,Range,CV_Percent
ROC_AUC,0.8112802498048399,0.0021578204905831327,0.8088407494145199,0.8129391100702575,0.004098360655737654,0.2659771997533792
PR_AUC,0.7751807919964332,0.002886326616027426,0.7721814126397413,0.7779389227502277,0.005757510110486419,0.37234238074886494
F1,0.7002635519616652,0.03503600927396981,0.66,0.7238095238095238,0.06380952380952376,5.003260440418838
Precision,0.7618367346938776,0.012853903057958953,0.75,0.7755102040816326,0.025510204081632626,1.6872254214840308
Recall,0.6488095238095238,0.05154913117764517,0.5892857142857143,0.6785714285714286,0.0892857142857143,7.945187190682924
Specificity,0.814207650273224,0.00946475851130535,0.8032786885245902,0.819672131147541,0.016393442622950838,1.1624502064220668
Accuracy,0.7350427350427351,0.022613259068928106,0.7094017094017094,0.7521367521367521,0.042735042735042694,3.0764550128658
