Seed,Fold,ROC_AUC,Training_N,Validation_N
42,1,0.7764172335600906,374,94
42,2,0.8244897959183674,374,94
42,3,0.7873015873015873,374,94
42,4,0.7054730983302412,375,93
42,5,0.725925925925926,375,93
123,1,0.7782312925170068,374,94
123,2,0.8453514739229024,374,94
123,3,0.7383219954648527,374,94
123,4,0.7244897959183674,375,93
123,5,0.7518518518518518,375,93
7,1,0.7791383219954648,374,94
7,2,0.801814058956916,374,94
7,3,0.7736961451247166,374,94
7,4,0.7815398886827458,375,93
7,5,0.725,375,93
