Seed,Mean_ROC_AUC,SD_ROC_AUC,Minimum_ROC_AUC,Maximum_ROC_AUC,Range_ROC_AUC,CV_Percent
42,0.7639215282072425,0.04803948796785168,0.7054730983302412,0.8244897959183674,0.11901669758812616,6.288537002038665
123,0.7676492819349962,0.04775457923025944,0.7244897959183674,0.8453514739229024,0.12086167800453507,6.220885025761446
7,0.7722376829519686,0.028471203306290042,0.725,0.801814058956916,0.07681405895691606,3.686844599120772
