Model,ROC_AUC_Mean,ROC_AUC_Std,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
Logistic Regression,0.7901561065197429,0.03126635265568533,0.7248901226000463,0.021579558274064867,0.71941084398,0.014799818085167657,0.7384149184149184,0.0739709351092036,0.7271633242755732,0.03434111682252583
Random Forest,0.9223885710249347,0.01752432094612716,0.8435230164237797,0.028826790878293384,0.8722375149761842,0.026704417885811182,0.8055011655011655,0.05795919057280896,0.836573919070527,0.03461733696553357
SVM,0.9081027053754326,0.018784582450459053,0.8343395789960676,0.031111056966308757,0.878380820401927,0.04531711528787782,0.778041958041958,0.05134648420931316,0.8240322055303742,0.035115159446225536
