Fold,ROC_AUC,Accuracy,Precision,Recall,F1,Selected_Features
1,0.5976331360946746,0.6373626373626373,0.37037037037037035,0.38461538461538464,0.37735849056603776,47
2,0.6121212121212122,0.6703296703296703,0.391304347826087,0.36,0.375,46
3,0.5951515151515151,0.6593406593406593,0.375,0.36,0.3673469387755102,47
4,0.7115151515151515,0.7142857142857143,0.46153846153846156,0.24,0.3157894736842105,47
5,0.5745454545454546,0.6813186813186813,0.4166666666666667,0.4,0.40816326530612246,44
