Metric,Mean,Std
ROC_AUC,0.6181932938856016,0.05386236353676174
Accuracy,0.6725274725274725,0.02844434968251603
Precision,0.4029759692803171,0.03741325760753213
Recall,0.348923076923077,0.06323058206972115
F1,0.3687316336663762,0.033441584643039875
