Metric,Threshold_0.50,Threshold_0.10
Sensitivity / Recall,0.2903225806451613,0.7419354838709677
Specificity,0.7710843373493976,0.3614457831325301
PPV / Precision,0.32142857142857145,0.3026315789473684
NPV,0.7441860465116279,0.7894736842105263
Balanced Accuracy,0.5307034589972794,0.551690633501749
MCC,0.06347591246369076,0.09758052471140821
