Model,Accuracy,Precision,Recall,F1,ROC_AUC
Leakage-Resistant SP-XGBoost,0.6404,0.3214,0.2903,0.3051,0.5616
Logistic Regression,0.6140350877192983,0.34146341463414637,0.45161290322580644,0.3888888888888889,0.5724834823163623
Random Forest,0.6403508771929824,0.2222222222222222,0.12903225806451613,0.16326530612244897,0.6086280606296152
SVM,0.6666666666666666,0.3157894736842105,0.1935483870967742,0.24,0.6369996113486203
