Rank,Feature_1,Feature_2,Mean_Absolute_SHAP_Interaction
543,ATT_RATE,Uses library regularly,0.0020498647
544,Participates in clubs,ASSIGN_LATE,0.0020449397
545,Takes rest breaks,Sleep difficulty,0.0020245619
546,Persists when difficult,Early intervention provided,0.0020216524
547,Study_hrs_day,Burnt out,0.0020209255
548,Can improve performance,Employment_hrs,0.002013696
549,Physical health affected,Uses library regularly,0.0020021934
550,Sleep_hrs,Employment_hrs,0.0019974692
551,Sleep_hrs,Adequate supervision,0.0019963558
552,Age_group,Can improve performance,0.0019899043
553,Sleep affects concentration,Peer study groups effective,0.001988936
554,Programme prepares for career,Employment_hrs,0.0019864829
555,Self-motivates,Sense of belonging,0.0019852594
556,Early intervention provided,Prepared for clinical assess,0.0019833667
557,Confident to complete prog,Sleep difficulty,0.001976209
558,Completes readings,Confident to complete prog,0.0019641889
559,Sleep_hrs,Health interferes studies,0.0019546445
560,Financial_diff,Confident in clinical skills,0.0019373968
561,Financial_diff,Lecturers approachable,0.0019238066
562,CLIN_AVG,Burnt out,0.0019166574
563,Understands content pre-exam,Sleep difficulty,0.0019012429
564,Hopeless/unmotivated,Prepared for clinical assess,0.00188981
565,Takes rest breaks,Sleep affects concentration,0.0018844282
566,Lecturers approachable,Clinical takes study time,0.001875654
567,Persists when difficult,Sleep affects concentration,0.0018734644
568,Study_hrs_day,Participates in clubs,0.0018630471
569,Age_group,Anxious about assessments,0.0018495291
570,Self-motivates,Takes organised notes,0.001838477
571,Hopeless/unmotivated,Uses library regularly,0.0018372177
572,LAB_AVG,Reviews notes within 24h,0.0018371542
573,Burnt out,Anxious about assessments,0.0018325017
574,EXAM_AVG,Takes organised notes,0.0018141429
575,Completes readings,Anxious about assessments,0.0018085464
576,Gender,Completes readings,0.0018034956
577,LAB_AVG,Can improve performance,0.0018030414
578,Burnt out,Health interferes studies,0.0017974891
579,Employment_hrs,Confident to complete prog,0.0017963735
580,Burnt out,Prepared for clinical assess,0.0017796963
581,Concentration in self-study,Can improve performance,0.0017790381
582,Lecturers approachable,Completes readings,0.001774197
583,CA_AVG,Considered break,0.0017731119
584,CLIN_AVG,Confident to complete prog,0.0017722389
585,Lecturers approachable,Considered break,0.0017706432
586,Sleep affects concentration,Participates in clubs,0.0017653065
587,Seeks help when stuck,Rotations affect performance,0.0017422093
588,Seeks help when stuck,Early intervention provided,0.0017371129
589,ATT_RATE,Reviews notes within 24h,0.0017318575
590,Financial_diff,Uses library regularly,0.0017204343
591,Self-motivates,Rotations affect performance,0.0017199995
592,Sleep affects concentration,Uses library regularly,0.001718401
593,Confident in clinical skills,Prepared for clinical assess,0.0017170275
594,Programme prepares for career,ASSIGN_LATE,0.0017115822
595,Takes rest breaks,Seeks help when stuck,0.0017037424
596,Sleep_hrs,Regular exercise,0.0017019644
597,Sleep_hrs,Rotations affect performance,0.0016999772
598,Self-motivates,Self_risk_percep,0.0016918854
599,Self-motivates,Concentration in self-study,0.0016621096
600,CLIN_AVG,Rotations affect performance,0.0016472972
601,CA_AVG,Regular exercise,0.0016459643
602,Age_group,Prepared for clinical assess,0.001644227
603,Study_hrs_day,Programme prepares for career,0.0016275693
604,Burnt out,Employment_hrs,0.0016164324
605,Adequate supervision,Early intervention provided,0.0016103663
606,Lecturers approachable,Hopeless/unmotivated,0.0016073436
607,Confident in clinical skills,Understands content pre-exam,0.0015934468
608,Financial_diff,Manages time effectively,0.0015896923
609,Adequate supervision,Financial_diff,0.0015885412
610,Completes readings,Uses library regularly,0.0015834307
611,Physical health affected,Sleep affects concentration,0.0015805605
612,Clinical takes study time,Uses library regularly,0.0015569757
613,Confident in clinical skills,Sleep difficulty,0.0015560441
614,CLIN_AVG,Can improve performance,0.0015552673
615,Participates in clubs,Reviews notes within 24h,0.0015441498
616,ATT_RATE,Sleep affects concentration,0.0015272398
617,Manages time effectively,Reviews notes within 24h,0.0015264273
618,Self_risk_percep,Sleep affects concentration,0.0015258796
619,Clinical takes study time,Confident to complete prog,0.0015205931
620,Sleep affects concentration,Prepared for clinical assess,0.0015164299
621,CLIN_AVG,Understands content pre-exam,0.0015154661
622,Concentration in self-study,Sleep affects concentration,0.001514318
623,Seeks help when stuck,Participates in clubs,0.0015026769
624,CLIN_AVG,Employment_hrs,0.0014943208
625,Sleep affects concentration,Seeks help when stuck,0.0014849664
626,Sleep_hrs,Clinical takes study time,0.0014571568
627,Gender,Burnt out,0.0014562474
628,Financial_diff,Persists when difficult,0.0014463438
629,LAB_AVG,Participates in clubs,0.001443021
630,Study_hrs_day,Early intervention provided,0.0014393964
631,Self-motivates,Can improve performance,0.0014332054
632,Adequate supervision,Peer study groups effective,0.0014328558
633,Sleep_hrs,Burnt out,0.0014245172
634,Adequate supervision,Clinical takes study time,0.001417485
635,Can improve performance,Reviews notes within 24h,0.0014119727
636,Gender,Regular exercise,0.0014106347
637,Uses library regularly,Sleep difficulty,0.0014070026
638,EXAM_AVG,Regular exercise,0.0014012476
639,Programme prepares for career,Regular exercise,0.0013913999
640,LAB_AVG,ASSIGN_LATE,0.0013869851
641,Adequate supervision,Concentration in self-study,0.0013698465
642,Gender,Confident in clinical skills,0.0013684855
643,Financial_diff,Participates in clubs,0.0013644764
644,Concentration in self-study,Prepared for clinical assess,0.001363292
645,LAB_AVG,Confident to complete prog,0.0013542129
646,Concentration in self-study,Health interferes studies,0.0013502629
647,Manages time effectively,Sleep difficulty,0.0013477599
648,EXAM_AVG,Prepared for clinical assess,0.001332961
649,Hopeless/unmotivated,Can improve performance,0.0013291626
650,CLIN_AVG,Reviews notes within 24h,0.0013217784
651,Sleep_hrs,Peer study groups effective,0.0013163176
652,Can improve performance,Prepared for clinical assess,0.0013152362
653,Regular exercise,Sleep difficulty,0.0013135459
654,Adequate supervision,Understands content pre-exam,0.0012928314
655,Self-motivates,Health interferes studies,0.0012788299
656,Sleep_hrs,Hopeless/unmotivated,0.0012740758
657,LAB_AVG,Programme prepares for career,0.0012733863
658,Self_risk_percep,ASSIGN_LATE,0.0012731168
659,Adequate supervision,Employment_hrs,0.0012710635
660,Study_hrs_day,Uses library regularly,0.0012686935
661,Manages time effectively,Health interferes studies,0.0012585899
662,Persists when difficult,Lecturers approachable,0.0012334093
663,Reviews notes within 24h,Rotations affect performance,0.0012302737
664,CA_AVG,Manages time effectively,0.0012227169
665,Financial_diff,Peer study groups effective,0.0012157657
666,Employment_hrs,Confident in clinical skills,0.0011875805
667,Health interferes studies,Rotations affect performance,0.0011847065
668,CA_AVG,Prepared for clinical assess,0.0011711555
669,Gender,Uses library regularly,0.0011672375
670,Employment_hrs,Reviews notes within 24h,0.001150569
671,Clinical takes study time,Health interferes studies,0.0011402171
672,Sense of belonging,Understands content pre-exam,0.0011386996
673,Takes organised notes,Uses library regularly,0.0011365825
674,Sleep affects concentration,ASSIGN_LATE,0.001132882
675,Burnt out,Clinical takes study time,0.0011297776
676,Sleep affects concentration,Completes readings,0.0011285375
677,Concentration in self-study,Regular exercise,0.0011251008
678,Persists when difficult,Physical health affected,0.0011105912
679,LAB_AVG,Employment_hrs,0.001105452
680,Peer study groups effective,Burnt out,0.0011024129
681,GPA_S1,Completes readings,0.0010873448
682,Sleep affects concentration,Can improve performance,0.0010864721
683,Clinical takes study time,Takes organised notes,0.0010792201
684,Peer study groups effective,Prepared for clinical assess,0.0010767302
685,Physical health affected,Takes organised notes,0.0010758563
686,Adequate supervision,Can improve performance,0.0010735724
687,Confident in clinical skills,Considered break,0.0010717065
688,Self-motivates,Manages time effectively,0.0010682254
689,Takes organised notes,Prepared for clinical assess,0.0010580592
690,Completes readings,Regular exercise,0.0010557423
691,Financial_diff,Considered break,0.0010381861
692,Peer study groups effective,Early intervention provided,0.0010331081
693,Considered break,Rotations affect performance,0.0010298324
694,Sense of belonging,Employment_hrs,0.0010256146
695,Self_risk_percep,Takes organised notes,0.0010231299
696,Completes readings,ASSIGN_LATE,0.0010208694
697,Takes rest breaks,ASSIGN_LATE,0.0010161684
698,Burnt out,Uses library regularly,0.0010153486
699,Study_hrs_day,Persists when difficult,0.0010101211
700,Programme prepares for career,Health interferes studies,0.0009906229
701,Self-motivates,Takes rest breaks,0.0009822878
702,Self-motivates,Burnt out,0.0009738747
703,Completes readings,Prepared for clinical assess,0.000971794
704,Takes organised notes,Rotations affect performance,0.00096920267
705,Manages time effectively,Self_risk_percep,0.0009685619
706,Gender,Understands content pre-exam,0.0009680452
707,Manages time effectively,Gender,0.0009678385
708,Clinical takes study time,Considered break,0.0009414858
709,Takes organised notes,Participates in clubs,0.00093106413
710,Adequate supervision,Considered break,0.0009293926
711,Anxious about assessments,Regular exercise,0.00092681363
712,Lecturers approachable,Early intervention provided,0.00092540577
713,Self-motivates,Seeks help when stuck,0.0009226859
714,Clinical takes study time,Reviews notes within 24h,0.000894335
715,Adequate supervision,Sense of belonging,0.000894212
716,Anxious about assessments,Sleep difficulty,0.0008766501
717,Can improve performance,Rotations affect performance,0.0008738735
718,Peer study groups effective,Health interferes studies,0.00086245884
719,Confident in clinical skills,Regular exercise,0.000860218
720,Concentration in self-study,Manages time effectively,0.0008364328
721,Adequate supervision,Regular exercise,0.00083642954
722,Self_risk_percep,Regular exercise,0.0008295106
723,Sleep affects concentration,Regular exercise,0.0008145668
724,ATT_RATE,ASSIGN_LATE,0.0007984868
725,Self-motivates,Sleep affects concentration,0.0007963052
726,Peer study groups effective,ASSIGN_LATE,0.00079384743
727,Can improve performance,Early intervention provided,0.00078352215
728,Anxious about assessments,Reviews notes within 24h,0.000771106
729,Manages time effectively,Confident in clinical skills,0.00077009294
730,Manages time effectively,Anxious about assessments,0.00075648224
731,Lecturers approachable,ATT_RATE,0.0006892638
732,Early intervention provided,Rotations affect performance,0.0006888497
733,ATT_RATE,Anxious about assessments,0.0006828399
734,Peer study groups effective,Sense of belonging,0.0006631197
735,Adequate supervision,Health interferes studies,0.00064746814
736,Concentration in self-study,Self_risk_percep,0.0006085373
737,Self-motivates,Gender,0.0
738,Self_risk_percep,Sleep difficulty,0.0
739,Self_risk_percep,Considered break,0.0
740,Self_risk_percep,Uses library regularly,0.0
741,Age_group,Burnt out,0.0
742,Self_risk_percep,Anxious about assessments,0.0
743,Self_risk_percep,Participates in clubs,0.0
744,Self_risk_percep,Employment_hrs,0.0
745,Self_risk_percep,Burnt out,0.0
746,Lecturers approachable,ASSIGN_LATE,0.0
747,Lecturers approachable,Rotations affect performance,0.0
748,Lecturers approachable,Reviews notes within 24h,0.0
749,Self-motivates,Sleep difficulty,0.0
750,Self-motivates,Understands content pre-exam,0.0
751,Self-motivates,Anxious about assessments,0.0
752,Self-motivates,Confident in clinical skills,0.0
753,ATT_RATE,Considered break,0.0
754,ATT_RATE,Confident in clinical skills,0.0
755,ATT_RATE,Takes organised notes,0.0
756,ATT_RATE,Peer study groups effective,0.0
757,Sleep affects concentration,Anxious about assessments,0.0
758,CLIN_AVG,ASSIGN_LATE,0.0
759,Self-motivates,Considered break,0.0
760,Self-motivates,Prepared for clinical assess,0.0
761,Age_group,ASSIGN_LATE,0.0
762,Age_group,Understands content pre-exam,0.0
763,Age_group,Regular exercise,0.0
764,Self_risk_percep,Understands content pre-exam,0.0
765,Self_risk_percep,Confident to complete prog,0.0
766,Sleep affects concentration,Confident in clinical skills,0.0
767,Sleep affects concentration,Employment_hrs,0.0
768,Sleep affects concentration,Health interferes studies,0.0
769,Sleep affects concentration,Burnt out,0.0
770,Sleep affects concentration,Gender,0.0
771,Sleep affects concentration,Hopeless/unmotivated,0.0
772,Age_group,Confident in clinical skills,0.0
773,Peer study groups effective,Completes readings,0.0
774,Lecturers approachable,Anxious about assessments,0.0
775,Lecturers approachable,Confident in clinical skills,0.0
776,Lecturers approachable,Participates in clubs,0.0
777,Lecturers approachable,Takes organised notes,0.0
778,Lecturers approachable,Burnt out,0.0
779,Lecturers approachable,Gender,0.0
780,Lecturers approachable,Seeks help when stuck,0.0
781,Study_hrs_day,Self_risk_percep,0.0
782,Study_hrs_day,Lecturers approachable,0.0
783,Self-motivates,Peer study groups effective,0.0
784,Adequate supervision,ASSIGN_LATE,0.0
785,Adequate supervision,Rotations affect performance,0.0
786,Adequate supervision,Reviews notes within 24h,0.0
787,Peer study groups effective,Reviews notes within 24h,0.0
788,Peer study groups effective,Sleep difficulty,0.0
789,Peer study groups effective,Considered break,0.0
790,Peer study groups effective,Uses library regularly,0.0
791,Peer study groups effective,Regular exercise,0.0
792,Peer study groups effective,Anxious about assessments,0.0
793,Peer study groups effective,Confident in clinical skills,0.0
794,Peer study groups effective,Takes organised notes,0.0
795,Peer study groups effective,Employment_hrs,0.0
796,Peer study groups effective,Can improve performance,0.0
797,Seeks help when stuck,Reviews notes within 24h,0.0
798,Seeks help when stuck,Considered break,0.0
799,Seeks help when stuck,Understands content pre-exam,0.0
800,Seeks help when stuck,Confident to complete prog,0.0
801,Seeks help when stuck,Anxious about assessments,0.0
802,Seeks help when stuck,Confident in clinical skills,0.0
803,Seeks help when stuck,Takes organised notes,0.0
804,Seeks help when stuck,Clinical takes study time,0.0
805,Seeks help when stuck,Hopeless/unmotivated,0.0
806,EXAM_AVG,Sense of belonging,0.0
807,Seeks help when stuck,ASSIGN_LATE,0.0
808,Programme prepares for career,Completes readings,0.0
809,Programme prepares for career,Gender,0.0
810,Programme prepares for career,Seeks help when stuck,0.0
811,Programme prepares for career,Takes rest breaks,0.0
812,Self-motivates,ASSIGN_LATE,0.0
813,Physical health affected,Rotations affect performance,0.0
814,Physical health affected,Reviews notes within 24h,0.0
815,Physical health affected,Sleep difficulty,0.0
816,Physical health affected,Considered break,0.0
817,Lecturers approachable,Uses library regularly,0.0
818,Lecturers approachable,Understands content pre-exam,0.0
819,Lecturers approachable,Confident to complete prog,0.0
820,Physical health affected,Confident to complete prog,0.0
821,Physical health affected,Anxious about assessments,0.0
822,Physical health affected,Participates in clubs,0.0
823,Physical health affected,Gender,0.0
824,Physical health affected,Seeks help when stuck,0.0
825,Physical health affected,Peer study groups effective,0.0
826,Physical health affected,ASSIGN_LATE,0.0
827,Programme prepares for career,Clinical takes study time,0.0
828,Adequate supervision,Participates in clubs,0.0
829,Adequate supervision,Completes readings,0.0
830,Sleep_hrs,Sleep difficulty,0.0
831,EXAM_AVG,Burnt out,0.0
832,Age_group,Manages time effectively,0.0
833,Age_group,Study_hrs_day,0.0
834,EXAM_AVG,Gender,0.0
835,Hopeless/unmotivated,Confident in clinical skills,0.0
836,Hopeless/unmotivated,Participates in clubs,0.0
837,Hopeless/unmotivated,Takes organised notes,0.0
838,Persists when difficult,Uses library regularly,0.0
839,Programme prepares for career,Reviews notes within 24h,0.0
840,Programme prepares for career,Sleep difficulty,0.0
841,Programme prepares for career,Prepared for clinical assess,0.0
842,Programme prepares for career,Uses library regularly,0.0
843,Programme prepares for career,Confident to complete prog,0.0
844,Programme prepares for career,Confident in clinical skills,0.0
845,Programme prepares for career,Early intervention provided,0.0
846,Programme prepares for career,Takes organised notes,0.0
847,Physical health affected,Prepared for clinical assess,0.0
848,Physical health affected,Understands content pre-exam,0.0
849,Hopeless/unmotivated,Employment_hrs,0.0
850,Hopeless/unmotivated,Health interferes studies,0.0
851,Hopeless/unmotivated,Completes readings,0.0
852,Hopeless/unmotivated,Gender,0.0
853,EXAM_AVG,Uses library regularly,0.0
854,Sleep_hrs,Considered break,0.0
855,Persists when difficult,Anxious about assessments,0.0
856,Persists when difficult,Confident in clinical skills,0.0
857,Persists when difficult,Participates in clubs,0.0
858,Persists when difficult,Takes organised notes,0.0
859,Persists when difficult,Employment_hrs,0.0
860,Persists when difficult,Burnt out,0.0
861,Persists when difficult,Completes readings,0.0
862,Persists when difficult,Sense of belonging,0.0
863,Persists when difficult,Rotations affect performance,0.0
864,Persists when difficult,Reviews notes within 24h,0.0
865,Persists when difficult,Sleep difficulty,0.0
866,Study_hrs_day,Takes organised notes,0.0
867,Study_hrs_day,Employment_hrs,0.0
868,Study_hrs_day,Health interferes studies,0.0
869,Study_hrs_day,Completes readings,0.0
870,Study_hrs_day,Gender,0.0
871,Sleep_hrs,Prepared for clinical assess,0.0
872,Hopeless/unmotivated,Confident to complete prog,0.0
873,Hopeless/unmotivated,Regular exercise,0.0
874,Sense of belonging,Confident to complete prog,0.0
875,Sense of belonging,Anxious about assessments,0.0
876,Sense of belonging,Takes organised notes,0.0
877,Sense of belonging,Health interferes studies,0.0
878,Sense of belonging,Can improve performance,0.0
879,GPA_S1,ASSIGN_LATE,0.0
880,Sense of belonging,Clinical takes study time,0.0
881,Sense of belonging,Burnt out,0.0
882,Sense of belonging,Completes readings,0.0
883,Hopeless/unmotivated,ASSIGN_LATE,0.0
884,Hopeless/unmotivated,Sleep difficulty,0.0
885,Gender,Anxious about assessments,0.0
886,Gender,Participates in clubs,0.0
887,Persists when difficult,Peer study groups effective,0.0
888,Persists when difficult,Self_risk_percep,0.0
889,Manages time effectively,ASSIGN_LATE,0.0
890,Manages time effectively,Considered break,0.0
891,Manages time effectively,Prepared for clinical assess,0.0
892,Manages time effectively,Confident to complete prog,0.0
893,Considered break,Sleep difficulty,0.0
894,Understands content pre-exam,Reviews notes within 24h,0.0
895,Understands content pre-exam,Rotations affect performance,0.0
896,Persists when difficult,Confident to complete prog,0.0
897,Gender,Early intervention provided,0.0
898,Gender,Takes organised notes,0.0
899,Gender,Employment_hrs,0.0
900,Gender,Health interferes studies,0.0
901,Gender,Can improve performance,0.0
902,Gender,Clinical takes study time,0.0
903,Sense of belonging,ASSIGN_LATE,0.0
904,Sense of belonging,Rotations affect performance,0.0
905,Sense of belonging,Considered break,0.0
906,Sense of belonging,Uses library regularly,0.0
907,Completes readings,Early intervention provided,0.0
908,Completes readings,Takes organised notes,0.0
909,Completes readings,Health interferes studies,0.0
910,Completes readings,Can improve performance,0.0
911,Completes readings,Clinical takes study time,0.0
912,Completes readings,Burnt out,0.0
913,Gender,ASSIGN_LATE,0.0
914,Gender,Rotations affect performance,0.0
915,Gender,Reviews notes within 24h,0.0
916,Gender,Considered break,0.0
917,Gender,Prepared for clinical assess,0.0
918,Understands content pre-exam,ASSIGN_LATE,0.0
919,Burnt out,Can improve performance,0.0
920,Manages time effectively,Completes readings,0.0
921,Uses library regularly,Considered break,0.0
922,Manages time effectively,Hopeless/unmotivated,0.0
923,Manages time effectively,Seeks help when stuck,0.0
924,Manages time effectively,Peer study groups effective,0.0
925,Uses library regularly,Reviews notes within 24h,0.0
926,Manages time effectively,Lecturers approachable,0.0
927,Concentration in self-study,ASSIGN_LATE,0.0
928,Persists when difficult,EXAM_AVG,0.0
929,Persists when difficult,Seeks help when stuck,0.0
930,CLIN_AVG,Uses library regularly,0.0
931,Concentration in self-study,Uses library regularly,0.0
932,Manages time effectively,Takes organised notes,0.0
933,Uses library regularly,Rotations affect performance,0.0
934,Completes readings,Reviews notes within 24h,0.0
935,Completes readings,Sleep difficulty,0.0
936,Completes readings,Considered break,0.0
937,Uses library regularly,ASSIGN_LATE,0.0
938,Completes readings,Understands content pre-exam,0.0
939,Prepared for clinical assess,Considered break,0.0
940,Completes readings,Confident in clinical skills,0.0
941,Concentration in self-study,Burnt out,0.0
942,Concentration in self-study,Completes readings,0.0
943,Concentration in self-study,Rotations affect performance,0.0
944,Concentration in self-study,Sleep difficulty,0.0
945,Burnt out,ASSIGN_LATE,0.0
946,Burnt out,Rotations affect performance,0.0
947,Burnt out,Reviews notes within 24h,0.0
948,Burnt out,Sleep difficulty,0.0
949,Confident in clinical skills,Anxious about assessments,0.0
950,Burnt out,Understands content pre-exam,0.0
951,Burnt out,Confident to complete prog,0.0
952,Burnt out,Participates in clubs,0.0
953,Burnt out,Takes organised notes,0.0
954,Sleep_hrs,Manages time effectively,0.0
955,Can improve performance,Takes organised notes,0.0
956,Can improve performance,Health interferes studies,0.0
957,Clinical takes study time,ASSIGN_LATE,0.0
958,Sleep_hrs,Self-motivates,0.0
959,Clinical takes study time,Sleep difficulty,0.0
960,Study_hrs_day,ASSIGN_LATE,0.0
961,Clinical takes study time,Prepared for clinical assess,0.0
962,Clinical takes study time,Regular exercise,0.0
963,Clinical takes study time,Confident in clinical skills,0.0
964,Clinical takes study time,Participates in clubs,0.0
965,Can improve performance,Uses library regularly,0.0
966,Can improve performance,Confident to complete prog,0.0
967,Can improve performance,Regular exercise,0.0
968,Study_hrs_day,Sleep difficulty,0.0
969,Financial_diff,Health interferes studies,0.0
970,Financial_diff,Can improve performance,0.0
971,Financial_diff,Gender,0.0
972,Concentration in self-study,Anxious about assessments,0.0
973,Concentration in self-study,Confident in clinical skills,0.0
974,Concentration in self-study,Takes organised notes,0.0
975,Can improve performance,Confident in clinical skills,0.0
976,Sleep_hrs,Anxious about assessments,0.0
977,Sleep_hrs,Confident in clinical skills,0.0
978,Sleep_hrs,Participates in clubs,0.0
979,Sleep_hrs,Early intervention provided,0.0
980,Sleep_hrs,Takes organised notes,0.0
981,Sleep_hrs,Completes readings,0.0
982,Health interferes studies,Considered break,0.0
983,Health interferes studies,Uses library regularly,0.0
984,Study_hrs_day,Confident to complete prog,0.0
985,Takes rest breaks,Rotations affect performance,0.0
986,Takes rest breaks,Prepared for clinical assess,0.0
987,Takes rest breaks,Uses library regularly,0.0
988,Takes rest breaks,Anxious about assessments,0.0
989,Takes rest breaks,Confident in clinical skills,0.0
990,Takes rest breaks,Takes organised notes,0.0
991,Takes rest breaks,Can improve performance,0.0
992,Takes rest breaks,Gender,0.0
993,Concentration in self-study,Peer study groups effective,0.0
994,Health interferes studies,Confident to complete prog,0.0
995,Health interferes studies,Anxious about assessments,0.0
996,Health interferes studies,Confident in clinical skills,0.0
997,Health interferes studies,Early intervention provided,0.0
998,Health interferes studies,Takes organised notes,0.0
999,Can improve performance,ASSIGN_LATE,0.0
1000,Study_hrs_day,Regular exercise,0.0
1001,Can improve performance,Sleep difficulty,0.0
1002,Employment_hrs,ASSIGN_LATE,0.0
1003,Employment_hrs,Rotations affect performance,0.0
1004,Financial_diff,ASSIGN_LATE,0.0
1005,Financial_diff,Rotations affect performance,0.0
1006,Financial_diff,Sleep difficulty,0.0
1007,Confident in clinical skills,ASSIGN_LATE,0.0
1008,Financial_diff,Prepared for clinical assess,0.0
1009,Confident in clinical skills,Rotations affect performance,0.0
1010,Employment_hrs,Sleep difficulty,0.0
1011,Employment_hrs,Considered break,0.0
1012,Employment_hrs,Prepared for clinical assess,0.0
1013,Employment_hrs,Uses library regularly,0.0
1014,Employment_hrs,Understands content pre-exam,0.0
1015,Employment_hrs,Regular exercise,0.0
1016,Employment_hrs,Early intervention provided,0.0
1017,Health interferes studies,Sleep difficulty,0.0
1018,Early intervention provided,Confident in clinical skills,0.0
1019,Early intervention provided,Participates in clubs,0.0
1020,Takes organised notes,ASSIGN_LATE,0.0
1021,Takes rest breaks,Lecturers approachable,0.0
1022,Takes organised notes,Sleep difficulty,0.0
1023,Takes organised notes,Considered break,0.0
1024,Takes rest breaks,Concentration in self-study,0.0
1025,Takes organised notes,Understands content pre-exam,0.0
1026,Takes organised notes,Confident to complete prog,0.0
1027,Takes organised notes,Regular exercise,0.0
1028,Takes organised notes,Anxious about assessments,0.0
1029,Takes organised notes,Confident in clinical skills,0.0
1030,Confident in clinical skills,Uses library regularly,0.0
1031,Takes organised notes,Early intervention provided,0.0
1032,Participates in clubs,Prepared for clinical assess,0.0
1033,Participates in clubs,Uses library regularly,0.0
1034,Participates in clubs,Understands content pre-exam,0.0
1035,CA_AVG,ASSIGN_LATE,0.0
1036,CA_AVG,Rotations affect performance,0.0
1037,CA_AVG,Sleep difficulty,0.0
1038,CA_AVG,Takes organised notes,0.0
1039,LAB_AVG,Rotations affect performance,0.0
1040,Participates in clubs,Confident to complete prog,0.0
1041,Participates in clubs,Regular exercise,0.0
1042,Participates in clubs,Anxious about assessments,0.0
1043,Participates in clubs,Confident in clinical skills,0.0
1044,Early intervention provided,ASSIGN_LATE,0.0
1045,Confident in clinical skills,Confident to complete prog,0.0
1046,Early intervention provided,Considered break,0.0
1047,Early intervention provided,Uses library regularly,0.0
1048,Early intervention provided,Anxious about assessments,0.0
1049,Confident in clinical skills,Reviews notes within 24h,0.0
1050,Prepared for clinical assess,Sleep difficulty,0.0
1051,Prepared for clinical assess,ASSIGN_LATE,0.0
1052,Reviews notes within 24h,ASSIGN_LATE,0.0
1053,Understands content pre-exam,Considered break,0.0
1054,Understands content pre-exam,Prepared for clinical assess,0.0
1055,Understands content pre-exam,Uses library regularly,0.0
1056,Confident to complete prog,ASSIGN_LATE,0.0
1057,Confident to complete prog,Rotations affect performance,0.0
1058,Confident to complete prog,Reviews notes within 24h,0.0
1059,Rotations affect performance,ASSIGN_LATE,0.0
1060,Confident to complete prog,Considered break,0.0
1061,Confident to complete prog,Prepared for clinical assess,0.0
1062,Confident to complete prog,Understands content pre-exam,0.0
1063,Regular exercise,ASSIGN_LATE,0.0
1064,Regular exercise,Rotations affect performance,0.0
1065,Participates in clubs,Considered break,0.0
1066,Considered break,Reviews notes within 24h,0.0
1067,Prepared for clinical assess,Rotations affect performance,0.0
1068,Anxious about assessments,Considered break,0.0
1069,Anxious about assessments,Prepared for clinical assess,0.0
1070,Anxious about assessments,Uses library regularly,0.0
1071,Sleep difficulty,ASSIGN_LATE,0.0
1072,Sleep difficulty,Rotations affect performance,0.0
1073,Regular exercise,Considered break,0.0
1074,Regular exercise,Prepared for clinical assess,0.0
1075,Regular exercise,Understands content pre-exam,0.0
1076,Anxious about assessments,ASSIGN_LATE,0.0
1077,Anxious about assessments,Understands content pre-exam,0.0
1078,Self-motivates,Employment_hrs,0.0
1079,Considered break,ASSIGN_LATE,0.0
1080,Self-motivates,Completes readings,0.0
1081,Prepared for clinical assess,Reviews notes within 24h,0.0
