Rank,Feature_1,Feature_2,Mean_Absolute_SHAP_Interaction
130,Can improve performance,Understands content pre-exam,0.008911388
131,Takes rest breaks,Employment_hrs,0.008872243
132,CLIN_AVG,Hopeless/unmotivated,0.008781424
133,Self-motivates,CA_AVG,0.00878053
134,Takes rest breaks,Understands content pre-exam,0.008778692
135,CLIN_AVG,Self_risk_percep,0.008761243
136,Study_hrs_day,ATT_RATE,0.008612944
137,GPA_S1,Study_hrs_day,0.008609393
138,Anxious about assessments,Confident to complete prog,0.008564177
139,Programme prepares for career,Financial_diff,0.008546053
140,Takes rest breaks,Reviews notes within 24h,0.008483232
141,Physical health affected,Sense of belonging,0.008464988
142,Age_group,Adequate supervision,0.008432769
143,CLIN_AVG,Sleep_hrs,0.008349019
144,Physical health affected,Early intervention provided,0.008315269
145,GPA_S1,Takes organised notes,0.008305754
146,Financial_diff,Reviews notes within 24h,0.008244809
147,Manages time effectively,Understands content pre-exam,0.008236587
148,Seeks help when stuck,Prepared for clinical assess,0.00822809
149,Adequate supervision,Hopeless/unmotivated,0.008207471
150,Programme prepares for career,Persists when difficult,0.00816202
151,Manages time effectively,Uses library regularly,0.008069461
152,LAB_AVG,Adequate supervision,0.008051814
153,Concentration in self-study,Lecturers approachable,0.008029503
154,Programme prepares for career,Sense of belonging,0.008016317
155,CLIN_AVG,Early intervention provided,0.007980913
156,GPA_S1,Sleep affects concentration,0.007960611
157,LAB_AVG,Early intervention provided,0.0079557
158,ATT_RATE,Regular exercise,0.007946324
159,ATT_RATE,EXAM_AVG,0.007935024
160,Adequate supervision,Takes rest breaks,0.00789953
161,GPA_S1,Programme prepares for career,0.0078001814
162,CLIN_AVG,Participates in clubs,0.007787805
163,CA_AVG,Participates in clubs,0.0077319443
164,Adequate supervision,Gender,0.0077111265
165,LAB_AVG,Sleep difficulty,0.007616779
166,Self_risk_percep,Prepared for clinical assess,0.0075812275
167,Sleep_hrs,Uses library regularly,0.0074908603
168,Age_group,Programme prepares for career,0.007465188
169,Employment_hrs,Participates in clubs,0.0074605825
170,ATT_RATE,Rotations affect performance,0.0073164357
171,Sense of belonging,Sleep difficulty,0.0072913864
172,Health interferes studies,Regular exercise,0.0072759236
173,Age_group,Takes organised notes,0.0072294334
174,Sleep_hrs,Lecturers approachable,0.0071132923
175,Sense of belonging,Participates in clubs,0.0070554633
176,GPA_S1,Self_risk_percep,0.0070537794
177,Physical health affected,Burnt out,0.0070493715
178,Lecturers approachable,Regular exercise,0.0070018093
179,Lecturers approachable,Peer study groups effective,0.006972623
180,Programme prepares for career,Can improve performance,0.0069685476
181,CA_AVG,Reviews notes within 24h,0.006801345
182,Sleep_hrs,Programme prepares for career,0.0068004187
183,Self-motivates,Persists when difficult,0.0067384546
184,Seeks help when stuck,Completes readings,0.0067164716
185,Concentration in self-study,Early intervention provided,0.006716009
186,LAB_AVG,Regular exercise,0.0067031765
187,CLIN_AVG,Physical health affected,0.0067018853
188,Takes rest breaks,Physical health affected,0.0066996184
189,GPA_S1,Clinical takes study time,0.0066982177
190,Sleep_hrs,Sense of belonging,0.0066866637
191,LAB_AVG,Anxious about assessments,0.006679846
192,CLIN_AVG,Peer study groups effective,0.0066573923
193,Can improve performance,Participates in clubs,0.006618583
194,Sleep affects concentration,Confident to complete prog,0.006609179
195,Adequate supervision,Sleep affects concentration,0.00658108
196,Takes rest breaks,Burnt out,0.0065522706
197,GPA_S1,Confident in clinical skills,0.0064992653
198,Hopeless/unmotivated,Sense of belonging,0.0064903647
199,Sleep_hrs,Persists when difficult,0.006481036
