False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.012048192771084338,0.0,0.9833115339279175
0.04819277108433735,0.0,0.8982030153274536
0.04819277108433735,0.03225806451612903,0.8947126865386963
0.0963855421686747,0.03225806451612903,0.7741763591766357
0.0963855421686747,0.06451612903225806,0.7717339992523193
0.14457831325301204,0.06451612903225806,0.7537984848022461
0.14457831325301204,0.12903225806451613,0.6913861036300659
0.20481927710843373,0.12903225806451613,0.6068193912506104
0.20481927710843373,0.22580645161290322,0.5751981139183044
0.2289156626506024,0.22580645161290322,0.5541616082191467
0.2289156626506024,0.3225806451612903,0.4800957143306732
0.24096385542168675,0.3225806451612903,0.4629848599433899
0.24096385542168675,0.3548387096774194,0.4561159014701843
0.3493975903614458,0.3548387096774194,0.3415991961956024
0.3493975903614458,0.41935483870967744,0.3173108696937561
0.3614457831325301,0.41935483870967744,0.30734172463417053
0.3614457831325301,0.45161290322580644,0.3010050654411316
0.3855421686746988,0.45161290322580644,0.2782047688961029
0.3855421686746988,0.4838709677419355,0.27457815408706665
0.39759036144578314,0.4838709677419355,0.2688290774822235
0.39759036144578314,0.5161290322580645,0.20025064051151276
0.40963855421686746,0.5161290322580645,0.19558089971542358
0.40963855421686746,0.6129032258064516,0.1741809993982315
0.43373493975903615,0.6129032258064516,0.16240109503269196
0.43373493975903615,0.6451612903225806,0.16032902896404266
0.5060240963855421,0.6451612903225806,0.13622209429740906
0.5060240963855421,0.6774193548387096,0.13576452434062958
0.5783132530120482,0.6774193548387096,0.11415589600801468
0.5783132530120482,0.7096774193548387,0.11331433802843094
0.6024096385542169,0.7096774193548387,0.112436942756176
0.6024096385542169,0.7419354838709677,0.11064908653497696
0.6746987951807228,0.7419354838709677,0.08487343043088913
0.6746987951807228,0.7741935483870968,0.07848699390888214
0.7228915662650602,0.7741935483870968,0.06638950109481812
0.7228915662650602,0.8064516129032258,0.06626193970441818
0.7590361445783133,0.8064516129032258,0.05697539821267128
0.7590361445783133,0.8387096774193549,0.04856453463435173
0.7710843373493976,0.8387096774193549,0.04828263446688652
0.7710843373493976,0.8709677419354839,0.043223462998867035
0.7831325301204819,0.8709677419354839,0.042005542665719986
0.7831325301204819,0.9032258064516129,0.03648708388209343
0.8433734939759037,0.9032258064516129,0.03187720105051994
0.8433734939759037,0.9354838709677419,0.02928909845650196
0.8674698795180723,0.9354838709677419,0.027054205536842346
0.8674698795180723,0.967741935483871,0.016925446689128876
1.0,0.967741935483871,0.002636969555169344
1.0,1.0,0.001326016616076231
