Fold,ROC_AUC,Accuracy,Precision,Recall,F1
1,0.6390532544378699,0.7142857142857143,0.5,0.4230769230769231,0.4583333333333333
2,0.6581818181818182,0.7362637362637363,0.5263157894736842,0.4,0.45454545454545453
3,0.6024242424242424,0.6703296703296703,0.38095238095238093,0.32,0.34782608695652173
4,0.7424242424242424,0.7472527472527473,0.6,0.24,0.34285714285714286
5,0.5581818181818181,0.6263736263736264,0.32,0.32,0.32
