Threshold,Recall_Sensitivity,Specificity,Precision_PPV,NPV,Accuracy,Balanced_Accuracy,F1,MCC,TN,FP,FN,TP
0.5,0.2903225806451613,0.7710843373493976,0.32142857142857145,0.7441860465116279,0.6403508771929824,0.5307034589972794,0.3050847457627119,0.06347591246369076,64,19,22,9
0.4,0.3548387096774194,0.7108433734939759,0.3142857142857143,0.7468354430379747,0.6140350877192983,0.5328410415856977,0.3333333333333333,0.06336059452740697,59,24,20,11
0.3,0.45161290322580644,0.6385542168674698,0.3181818181818182,0.7571428571428571,0.5877192982456141,0.5450835600466382,0.37333333333333335,0.0824124325935538,53,30,17,14
0.2,0.5161290322580645,0.6024096385542169,0.32653061224489793,0.7692307692307693,0.5789473684210527,0.5592693354061407,0.4,0.10654307521032709,50,33,15,16
0.15,0.6451612903225806,0.5542168674698795,0.3508771929824561,0.8070175438596491,0.5789473684210527,0.5996890788962301,0.45454545454545453,0.17742818760474402,46,37,11,20
0.1,0.7419354838709677,0.3614457831325301,0.3026315789473684,0.7894736842105263,0.4649122807017544,0.551690633501749,0.42990654205607476,0.09758052471140821,30,53,8,23
0.05,0.8064516129032258,0.24096385542168675,0.2840909090909091,0.7692307692307693,0.39473684210526316,0.5237077341624563,0.42016806722689076,0.05028192865724937,20,63,6,25
