Metric,Mean,Std,95% CI Lower,95% CI Upper
ROC_AUC,0.6181932938856016,0.05386236353676174,0.5513143362238414,0.6850722515473618
Accuracy,0.6725274725274725,0.02844434968251603,0.6372091475743736,0.7078457974805713
Precision,0.4029759692803171,0.03741325760753213,0.35652127425352137,0.4494306643071128
Recall,0.348923076923077,0.06323058206972115,0.2704119395816358,0.4274342142645182
F1,0.3687316336663762,0.033441584643039875,0.3272084219722297,0.41025484536052265
