Model,CV_ROC_AUC,Test_ROC_AUC,CV_minus_Test_ROC_AUC
Logistic Regression,0.7901561065197429,0.5724834823163623,0.21767262420338063
Random Forest,0.9223885710249348,0.6086280606296152,0.3137605103953196
SVM,0.9081027053754326,0.6369996113486203,0.2711030940268123
