Threshold,Accuracy,Precision,Recall,F1
0.1,0.4901098901098901,0.32450331125827814,0.7777777777777778,0.45794392523364486
0.15000000000000002,0.5164835164835165,0.31640625,0.6428571428571429,0.42408376963350786
0.20000000000000004,0.567032967032967,0.33488372093023255,0.5714285714285714,0.4222873900293255
0.25000000000000006,0.6087912087912087,0.3645833333333333,0.5555555555555556,0.44025157232704404
0.30000000000000004,0.6285714285714286,0.37572254335260113,0.5158730158730159,0.43478260869565216
0.3500000000000001,0.654945054945055,0.4,0.49206349206349204,0.4412811387900356
0.40000000000000013,0.6527472527472528,0.3888888888888889,0.4444444444444444,0.4148148148148148
0.45000000000000007,0.6637362637362637,0.3902439024390244,0.38095238095238093,0.3855421686746988
0.5000000000000001,0.6725274725274726,0.3963963963963964,0.3492063492063492,0.37130801687763715
0.5500000000000002,0.6791208791208792,0.4,0.31746031746031744,0.35398230088495575
0.6000000000000002,0.6857142857142857,0.4,0.2698412698412698,0.3222748815165877
