Recall,Precision
1.0,0.2719298245614035
0.967741935483871,0.26548672566371684
0.967741935483871,0.26785714285714285
0.967741935483871,0.2702702702702703
0.967741935483871,0.2727272727272727
0.967741935483871,0.27522935779816515
0.967741935483871,0.2777777777777778
0.967741935483871,0.2803738317757009
0.967741935483871,0.2830188679245283
0.967741935483871,0.2857142857142857
0.967741935483871,0.28846153846153844
0.967741935483871,0.2912621359223301
0.967741935483871,0.29411764705882354
0.9354838709677419,0.2871287128712871
0.9354838709677419,0.29
0.9354838709677419,0.29292929292929293
0.9032258064516129,0.2857142857142857
0.9032258064516129,0.28865979381443296
0.9032258064516129,0.2916666666666667
0.9032258064516129,0.29473684210526313
0.9032258064516129,0.2978723404255319
0.9032258064516129,0.3010752688172043
0.8709677419354839,0.29347826086956524
0.8709677419354839,0.2967032967032967
0.8387096774193549,0.28888888888888886
0.8387096774193549,0.29213483146067415
0.8064516129032258,0.2840909090909091
0.8064516129032258,0.28735632183908044
0.8064516129032258,0.29069767441860467
0.8064516129032258,0.29411764705882354
0.7741935483870968,0.2857142857142857
0.7741935483870968,0.2891566265060241
0.7741935483870968,0.2926829268292683
0.7741935483870968,0.2962962962962963
0.7741935483870968,0.3
0.7419354838709677,0.2911392405063291
0.7419354838709677,0.2948717948717949
0.7419354838709677,0.2987012987012987
0.7419354838709677,0.3026315789473684
0.7419354838709677,0.30666666666666664
0.7419354838709677,0.3108108108108108
0.7419354838709677,0.3150684931506849
0.7096774193548387,0.3055555555555556
0.7096774193548387,0.30985915492957744
0.7096774193548387,0.3142857142857143
0.6774193548387096,0.30434782608695654
0.6774193548387096,0.3088235294117647
0.6774193548387096,0.31343283582089554
0.6774193548387096,0.3181818181818182
0.6774193548387096,0.3230769230769231
0.6774193548387096,0.328125
0.6774193548387096,0.3333333333333333
0.6451612903225806,0.3225806451612903
0.6451612903225806,0.32786885245901637
0.6451612903225806,0.3333333333333333
0.6451612903225806,0.3389830508474576
0.6451612903225806,0.3448275862068966
0.6451612903225806,0.3508771929824561
0.6451612903225806,0.35714285714285715
0.6129032258064516,0.34545454545454546
0.6129032258064516,0.35185185185185186
0.6129032258064516,0.3584905660377358
0.5806451612903226,0.34615384615384615
0.5483870967741935,0.3333333333333333
0.5161290322580645,0.32
0.5161290322580645,0.32653061224489793
0.4838709677419355,0.3125
0.4838709677419355,0.3191489361702128
0.45161290322580644,0.30434782608695654
0.45161290322580644,0.3111111111111111
0.45161290322580644,0.3181818181818182
0.41935483870967744,0.3023255813953488
0.41935483870967744,0.30952380952380953
0.3870967741935484,0.2926829268292683
0.3548387096774194,0.275
0.3548387096774194,0.28205128205128205
0.3548387096774194,0.2894736842105263
0.3548387096774194,0.2972972972972973
0.3548387096774194,0.3055555555555556
0.3548387096774194,0.3142857142857143
0.3548387096774194,0.3235294117647059
0.3548387096774194,0.3333333333333333
0.3548387096774194,0.34375
0.3548387096774194,0.3548387096774194
0.3225806451612903,0.3333333333333333
0.3225806451612903,0.3448275862068966
0.2903225806451613,0.32142857142857145
0.25806451612903225,0.2962962962962963
0.22580645161290322,0.2692307692307692
0.22580645161290322,0.28
0.22580645161290322,0.2916666666666667
0.1935483870967742,0.2608695652173913
0.16129032258064516,0.22727272727272727
0.12903225806451613,0.19047619047619047
0.12903225806451613,0.2
0.12903225806451613,0.21052631578947367
0.12903225806451613,0.2222222222222222
0.12903225806451613,0.23529411764705882
0.12903225806451613,0.25
0.0967741935483871,0.2
0.06451612903225806,0.14285714285714285
0.06451612903225806,0.15384615384615385
0.06451612903225806,0.16666666666666666
0.06451612903225806,0.18181818181818182
0.06451612903225806,0.2
0.03225806451612903,0.1111111111111111
0.03225806451612903,0.125
0.03225806451612903,0.14285714285714285
0.03225806451612903,0.16666666666666666
0.03225806451612903,0.2
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.0
