Metric,Mean,Std
ROC_AUC,0.6400530751299983,0.06879014941166021
Accuracy,0.6989010989010989,0.05011760110325884
Precision,0.465453634085213,0.1132448667566642
Recall,0.34061538461538465,0.07297239487779734
F1,0.3847124035384905,0.06632656836859503
