,GPA_S1,Age_group,LAB_AVG,CLIN_AVG,Study_hrs_day,Sleep_hrs,Adequate supervision,Self-motivates,Programme prepares for career,Financial_diff,CA_AVG,Takes rest breaks,Concentration in self-study,Manages time effectively,Persists when difficult,Physical health affected,Lecturers approachable,Self_risk_percep,ATT_RATE,Sleep affects concentration,Peer study groups effective,Seeks help when stuck,EXAM_AVG,Hopeless/unmotivated,Sense of belonging,Gender,Completes readings,Burnt out,Clinical takes study time,Can improve performance,Health interferes studies,Employment_hrs,Takes organised notes,Early intervention provided,Participates in clubs,Confident in clinical skills,Anxious about assessments,Regular exercise,Confident to complete prog,Understands content pre-exam,Uses library regularly,Prepared for clinical assess,Considered break,Sleep difficulty,Reviews notes within 24h,Rotations affect performance,ASSIGN_LATE
CA_AVG,0.016379362,0.0045592673,0.01573915,0.016055014,0.0118482625,0.00399343,0.0020678793,0.00878053,0.002690173,0.0095175635,0.0,0.0058138887,0.019261234,0.0012227169,0.0061854394,0.0062351814,0.0027989526,0.016384473,0.05490474,0.0034075454,0.022528991,0.02862271,0.009967397,0.014162217,0.003202376,0.0025114503,0.009399352,0.0030459308,0.0036004018,0.0043976265,0.00390085,0.0030584258,0.0,0.0048059598,0.0077319443,0.0045798323,0.011921689,0.0016459643,0.004886612,0.008956261,0.0026741996,0.0011711555,0.0017731119,0.0,0.006801345,0.0,0.0
Takes rest breaks,0.016217008,0.005697747,0.0055544255,0.020857865,0.0047122194,0.004740005,0.00789953,0.0009822878,0.0,0.0025049946,0.0058138887,0.0,0.0,0.00954853,0.0029873569,0.0066996184,0.0,0.006077421,0.0048329383,0.0018844282,0.0023397584,0.0017037424,0.0021704528,0.0026145387,0.002521602,0.0,0.005095263,0.0065522706,0.0036929208,0.0,0.021923257,0.008872243,0.0,0.011729915,0.005482173,0.0,0.0,0.011431895,0.0037326058,0.008778692,0.0,0.0,0.0026276328,0.0020245619,0.008483232,0.0,0.0010161684
Concentration in self-study,0.017164458,0.002485076,0.0033464718,0.0028180794,0.0055295224,0.01731298,0.0013698465,0.0016621096,0.01597885,0.0026135712,0.019261234,0.0,0.0,0.0008364328,0.0025761437,0.0037914077,0.008029503,0.0006085373,0.0022230393,0.001514318,0.0,0.013659499,0.0021961988,0.0024291633,0.01605343,0.005300032,0.0,0.0,0.0053157373,0.0017790381,0.0013502629,0.0039120913,0.0,0.006716009,0.012240097,0.0,0.0,0.0011251008,0.003202099,0.0053403825,0.0,0.001363292,0.0038588934,0.0,0.0036108212,0.0,0.0
Manages time effectively,0.018154237,0.0,0.010447619,0.00340306,0.016105277,0.0,0.0036244718,0.0010682254,0.0048923907,0.0015896923,0.0012227169,0.00954853,0.0008364328,0.0,0.01241061,0.026257493,0.0,0.0009685619,0.01175874,0.0029800904,0.0,0.0,0.0031181548,0.0,0.002217969,0.0009678385,0.0,0.0058799707,0.003955814,0.0029984603,0.0012585899,0.0029631713,0.0,0.0029516618,0.002715262,0.00077009294,0.00075648224,0.008956794,0.0,0.008236587,0.008069461,0.0,0.0,0.0013477599,0.0015264273,0.0040057823,0.0
Persists when difficult,0.01615159,0.008995457,0.022904256,0.022374606,0.0010101211,0.006481036,0.0096229855,0.0067384546,0.00816202,0.0014463438,0.0061854394,0.0029873569,0.0025761437,0.01241061,0.0,0.0011105912,0.0012334093,0.0,0.005507294,0.0018734644,0.0,0.0,0.0,0.002541563,0.0,0.0021593347,0.0,0.0,0.0031641494,0.0026209482,0.012339978,0.0,0.0,0.0020216524,0.0,0.0,0.0,0.0023946725,0.0,0.020355767,0.0,0.004609032,0.003108825,0.0,0.0,0.0,0.0026222195
Physical health affected,0.0100672925,0.0053214887,0.0036942824,0.0067018853,0.0030283425,0.014524241,0.004577896,0.0057132924,0.011627129,0.0030247367,0.0062351814,0.0066996184,0.0037914077,0.026257493,0.0011105912,0.0,0.003971979,0.0032952547,0.0040282034,0.0015805605,0.0,0.0,0.00934828,0.0021268474,0.008464988,0.0,0.003671205,0.0070493715,0.0028252874,0.004821175,0.0063917283,0.0026224698,0.0010758563,0.008315269,0.0,0.0021125907,0.0,0.0032363296,0.0,0.0,0.0020021934,0.0,0.0,0.0,0.0,0.0,0.0
Lecturers approachable,0.0030140984,0.021193996,0.0041863904,0.0040877033,0.0,0.0071132923,0.006212354,0.004254042,0.0042256853,0.0019238066,0.0027989526,0.0,0.008029503,0.0,0.0012334093,0.003971979,0.0,0.004261116,0.0006892638,0.0022251077,0.006972623,0.0,0.003468434,0.0016073436,0.009265943,0.0,0.001774197,0.0,0.001875654,0.0034640597,0.0026418793,0.003766585,0.0,0.00092540577,0.0,0.0,0.0,0.0070018093,0.0,0.0,0.0,0.0046659335,0.0017706432,0.0095419595,0.0,0.0,0.0
Self_risk_percep,0.0070537794,0.009380759,0.00219496,0.008761243,0.0,0.004467305,0.002976205,0.0016918854,0.005100142,0.011822118,0.016384473,0.006077421,0.0006085373,0.0009685619,0.0,0.0032952547,0.004261116,0.0,0.016195396,0.0015258796,0.0123968925,0.0054972083,0.021622278,0.003336141,0.0052731372,0.003013316,0.0036208532,0.0,0.0038651775,0.0032768634,0.0028652677,0.0,0.0010231299,0.0023583795,0.0,0.0044043795,0.0,0.0008295106,0.0,0.0,0.0,0.0075812275,0.0,0.0,0.003197276,0.0025146957,0.0012731168
ATT_RATE,0.02066936,0.0059698354,0.018922567,0.011228164,0.008612944,0.0031313826,0.015800616,0.005049953,0.0029998638,0.0045997184,0.05490474,0.0048329383,0.0022230393,0.01175874,0.005507294,0.0040282034,0.0006892638,0.016195396,0.0,0.0015272398,0.0,0.014426556,0.007935024,0.02563076,0.0021053832,0.004704432,0.0035655734,0.019383835,0.005203551,0.002159073,0.0048271785,0.03615981,0.0,0.0037204563,0.002838072,0.0,0.0006828399,0.007946324,0.004097372,0.0033298335,0.0020498647,0.011043815,0.0,0.004889682,0.0017318575,0.0073164357,0.0007984868
Sleep affects concentration,0.007960611,0.0036210956,0.009950159,0.009820259,0.006397903,0.01753458,0.00658108,0.0007963052,0.0031174899,0.0035817286,0.0034075454,0.0018844282,0.001514318,0.0029800904,0.0018734644,0.0015805605,0.0022251077,0.0015258796,0.0015272398,0.0,0.001988936,0.0014849664,0.018723879,0.0,0.0029451242,0.0,0.0011285375,0.0,0.004048841,0.0010864721,0.0,0.0,0.0020848378,0.0031048725,0.0017653065,0.0,0.0,0.0008145668,0.006609179,0.014760935,0.001718401,0.0015164299,0.0021849093,0.004366077,0.0031330546,0.00628194,0.001132882
