Threshold,Recall_Sensitivity,Specificity,Precision_PPV,F1,Balanced_Accuracy,MCC
0.5,0.2903225806451613,0.7710843373493976,0.3214285714285714,0.3050847457627119,0.5307034589972794,0.0634759124636907
0.4,0.3548387096774194,0.7108433734939759,0.3142857142857143,0.3333333333333333,0.5328410415856977,0.0633605945274069
0.3,0.4516129032258064,0.6385542168674698,0.3181818181818182,0.3733333333333333,0.5450835600466382,0.0824124325935538
0.2,0.5161290322580645,0.6024096385542169,0.3265306122448979,0.4,0.5592693354061407,0.106543075210327
0.15,0.6451612903225806,0.5542168674698795,0.3508771929824561,0.4545454545454545,0.5996890788962301,0.177428187604744
0.1,0.7419354838709677,0.3614457831325301,0.3026315789473684,0.4299065420560747,0.551690633501749,0.0975805247114082
0.05,0.8064516129032258,0.2409638554216867,0.2840909090909091,0.4201680672268907,0.5237077341624563,0.0502819286572493
