,precision,recall,f1-score,support
Not At-Risk,0.7441860465116279,0.7710843373493976,0.757396449704142,83.0
At-Risk,0.32142857142857145,0.2903225806451613,0.3050847457627119,31.0
accuracy,0.6403508771929824,0.6403508771929824,0.6403508771929824,0.6403508771929824
macro avg,0.5328073089700996,0.5307034589972794,0.5312405977334269,114.0
weighted avg,0.6292256804802705,0.6403508771929824,0.6343994074042795,114.0
