Metric,Best_Model,Mean,SD
ROC_AUC,SP-XGBoost,0.8112802496666668,0.0021578207106013
PR_AUC,SP-XGBoost,0.7751807923333333,0.0028863265649266
F1,SP-XGBoost,0.700263552,0.0350360093199688
Precision,Random Forest,0.7695705672449858,0.0151916357122191
Recall,SP-XGBoost,0.6488095239999999,0.0515491315900382
Specificity,Random Forest,0.8360655737704917,0.0163934426229507
Accuracy,SP-XGBoost,0.7350427350000001,0.0226132593225196
