Metric,SP_XGBoost_Mean,Random_Forest_Mean,Difference_SP_minus_RF
ROC_AUC,0.8112802496666668,0.8011319281811083,0.010148321485558442
PR_AUC,0.7751807923333333,0.7391348909238689,0.0360459014094644
F1,0.700263552,0.6711344603848141,0.029129091615185954
Precision,0.7618367346666667,0.7695705672449858,-0.007733832578319166
Recall,0.6488095239999999,0.5952380952380952,0.05357142876190468
Specificity,0.8142076503333334,0.8360655737704917,-0.02185792343715831
Accuracy,0.7350427350000001,0.7207977207977208,0.014245014202279305
