Stability_Rank,Model,ROC_AUC_Mean,ROC_AUC_SD,ROC_AUC_CV_Percent
1,SP-XGBoost,0.8112802496666668,0.0021578207106013,0.2659772269185513
2,Random Forest,0.8011319281811083,0.0067160291988953,0.8383175058499275
3,Logistic Regression,0.767271662763466,0.018760503477766,2.445092708128526
4,Support Vector Machine,0.7546350507416082,0.0341830677884907,4.52974822132867
