Metric,Mean,SD,Minimum,Maximum,Range,CV_Percent
ROC_AUC,0.7546350507416082,0.0341830677884907,0.7151639344262295,0.774443793911007,0.05927985948477754,4.52974822132867
PR_AUC,0.6972034472568117,0.023543847875360253,0.6700183678999649,0.7109993783056593,0.04098101040569435,3.3768978004906485
F1,0.4230769230769231,0.36639536313957016,0.0,0.6346153846153846,0.6346153846153846,86.60254037844386
Precision,0.4583333333333333,0.39692831006786766,0.0,0.6875,0.6875,86.60254037844386
Recall,0.39285714285714285,0.340224265772458,0.0,0.5892857142857143,0.5892857142857143,86.60254037844386
Specificity,0.8360655737704917,0.14197137766958015,0.7540983606557377,1.0,0.24590163934426235,16.980890270283115
Accuracy,0.623931623931624,0.0888231183368655,0.5213675213675214,0.6752136752136753,0.15384615384615385,14.236034034812686
