Rank,Model,ROC_AUC_Mean,ROC_AUC_SD
1,SP-XGBoost,0.8112802496666668,0.002157820710601379
2,Random Forest,0.8011319281811083,0.006716029198895334
3,Logistic Regression,0.767271662763466,0.018760503477766012
4,Support Vector Machine,0.7546350507416082,0.0341830677884907
