Model,Predictors,Seeds,ROC_AUC_Mean,ROC_AUC_SD,PR_AUC_Mean,PR_AUC_SD,F1_Mean,F1_SD,Precision_Mean,Precision_SD,Recall_Mean,Recall_SD,Specificity_Mean,Specificity_SD,Accuracy_Mean,Accuracy_SD
Logistic Regression,49,3,0.767271662763466,0.018760503477766012,0.7060195593902733,0.011342380993826956,0.642599719015332,0.026238384965920306,0.6990622335890878,0.005906396615750685,0.5952380952380952,0.04123930494211617,0.7650273224043715,0.00946475851130535,0.6837606837606837,0.014803853056144197
Random Forest,49,3,0.8011319281811083,0.006716029198895334,0.7391348909238689,0.006762472984531911,0.6711344603848141,0.0038705416539722127,0.7695705672449858,0.015191635712219142,0.5952380952380952,0.010309826235528995,0.8360655737704917,0.016393442622950782,0.7207977207977208,0.0049346176853814
Support Vector Machine,49,3,0.7546350507416082,0.0341830677884907,0.6972034472568117,0.023543847875360253,0.4230769230769231,0.36639536313957016,0.4583333333333333,0.39692831006786766,0.39285714285714285,0.340224265772458,0.8360655737704917,0.14197137766958015,0.623931623931624,0.0888231183368655
SP-XGBoost,49,3,0.8112802496666668,0.002157820710601379,0.7751807923333333,0.0028863265649266712,0.700263552,0.03503600931996883,0.7618367346666667,0.012853903014540207,0.6488095239999999,0.05154913159003823,0.8142076503333334,0.009464758151644537,0.7350427350000001,0.022613259322519664
